"date","name","value","source"
1988-02-29,"SP Total Return Index",0.046607371732629,"Bloomberg"
1988-03-31,"SP Total Return Index",-0.030875422124912,"Bloomberg"
1988-04-29,"SP Total Return Index",0.0110664369136513,"Bloomberg"
1988-05-31,"SP Total Return Index",0.00863505529465214,"Bloomberg"
1988-06-30,"SP Total Return Index",0.0458846500450587,"Bloomberg"
1988-07-29,"SP Total Return Index",-0.00376965606376112,"Bloomberg"
1988-08-31,"SP Total Return Index",-0.0339471692673611,"Bloomberg"
1988-09-30,"SP Total Return Index",0.0426008132204276,"Bloomberg"
1988-10-31,"SP Total Return Index",0.0278364163297433,"Bloomberg"
1988-11-30,"SP Total Return Index",-0.0142374769380721,"Bloomberg"
1988-12-30,"SP Total Return Index",0.0174447347976552,"Bloomberg"
1989-01-31,"SP Total Return Index",0.0731986672219906,"Bloomberg"
1989-02-28,"SP Total Return Index",-0.0249021700462468,"Bloomberg"
1989-03-31,"SP Total Return Index",0.0233159762528607,"Bloomberg"
1989-04-28,"SP Total Return Index",0.0519219550139365,"Bloomberg"
1989-05-31,"SP Total Return Index",0.0404547695341384,"Bloomberg"
1989-06-30,"SP Total Return Index",-0.00565607509846311,"Bloomberg"
1989-07-31,"SP Total Return Index",0.0902972184168207,"Bloomberg"
1989-08-31,"SP Total Return Index",0.0195301830101064,"Bloomberg"
1989-09-29,"SP Total Return Index",-0.00404554588077688,"Bloomberg"
1989-10-31,"SP Total Return Index",-0.0232151503739172,"Bloomberg"
1989-11-30,"SP Total Return Index",0.0203794993252733,"Bloomberg"
1989-12-29,"SP Total Return Index",0.0240209441040728,"Bloomberg"
1990-01-31,"SP Total Return Index",-0.0671305447932317,"Bloomberg"
1990-02-28,"SP Total Return Index",0.0128835395829803,"Bloomberg"
1990-03-30,"SP Total Return Index",0.0264993026499303,"Bloomberg"
1990-04-30,"SP Total Return Index",-0.0249728260869565,"Bloomberg"
1990-05-31,"SP Total Return Index",0.0975167916167332,"Bloomberg"
1990-06-29,"SP Total Return Index",-0.00675469781615035,"Bloomberg"
1990-07-31,"SP Total Return Index",-0.00319578667484788,"Bloomberg"
1990-08-31,"SP Total Return Index",-0.0903844674138859,"Bloomberg"
1990-09-28,"SP Total Return Index",-0.0486677005498378,"Bloomberg"
1990-10-31,"SP Total Return Index",-0.00426805773733663,"Bloomberg"
1990-11-30,"SP Total Return Index",0.0646524780473285,"Bloomberg"
1990-12-31,"SP Total Return Index",0.0278468979785835,"Bloomberg"
1991-01-31,"SP Total Return Index",0.0435492206838397,"Bloomberg"
1991-02-28,"SP Total Return Index",0.0715253883849443,"Bloomberg"
1991-03-29,"SP Total Return Index",0.0242045343971975,"Bloomberg"
1991-04-30,"SP Total Return Index",0.00237512766311188,"Bloomberg"
1991-05-31,"SP Total Return Index",0.0431485913323699,"Bloomberg"
1991-06-28,"SP Total Return Index",-0.0458159185898601,"Bloomberg"
